Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,
000030.SZ, 富奥股份,6.45,吉林,汽车,1993/9/29,0.52,0.5,0.49,0.64,0.52,0.39,0.48,0.44,-0.0128,5.0484,3.6934,0.0281,-0.2952,-0.0765,0,1,0.5,0.3,4.0113,是,1,12.81,33.2301,0.66,1.5283,22.8707,1.61,12764392382.55,0,1,0,1,0,1,0,1
000031.SZ, 大悦城,3.44,广东,房地产,1993/10/8,-0.09,0.61,0.77,0.52,0.4,0.4,0.33,0.29,0.28,0.23,0.26,0.21,0.08,0.61,0,1,0.43,0.3,4.2813,-,0,8,30.6364,0.43,1.5237,0.1766,0.8,15859359354.30,0,1,0,1,1,1,1,1
000032.SZ, 深桑达Ａ,19.31,广东,通信,1993/10/28,0.36,0.32,0.26,0.06,0.14,0.16,0.09,0.04,0.77,0.12,0.123,0.175,0.31,0.449,0,1,0.31,0.3,3.8272,-,0,61.63,24.6787,0.04,2.3833,-2.6783,5.05,7925553097.98,0,0,1,1,0,1,0,0
000033.SZ, 新都退,0,广东,-,1994/1/3,0,0,0,0,0.01,0.21,-1.3647,0.0106,-0.0773,0.0085,0.0127,-0.073,0.0107,0.0057,0,0,0,-0.48,0,-,0,10000,0,-1,0,0,#DIV/0!,730524059.50,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!
000034.SZ, 神州数码,16.51,广东,计算机,1994/5/9,0.9509,1.074,0.7834,1.1053,0.67,0.06,0.17,0.05,0.01,0.05,1.39,0.37,-0.72,-0.8,0,1,0.94,0.08,7.126,是,1,17.64,19.5664,11.21,1.0314,0.0731,2.32,10942735415.43,0,0,0,1,0,1,0,0
000035.SZ, 中国天楹,4.37,江苏,公用事业,1994/4/8,0.26,0.3018,0.1602,0.1729,0.1709,0.37,0.35,5.99,-3.37,-0.15,0.31,-0.12,-0.0664,0.79,0,1,0.24,0.99,4.6333,-,0,18.16,0,-0.76,0.8333,-0.2732,0.94,11180333425.71,0,0,0,1,1,1,1,1
000036.SZ, 华联控股,4.26,广东,房地产,1994/6/17,0.37,0.551,0.849,1.177,1.18,0.0612,0.0306,0.071,0.0525,0.0618,0.2053,0.2505,-0.353,-0.34,0,1,0.59,0.05,3.3057,是,1,7.22,72.6018,10.49,2.7712,-2.5713,1.29,5460877212.00,0,1,1,1,1,1,1,1
000037.SZ, 深南电A,7.76,广东,公用事业,1994/7/1,0.1062,0.04,0.03,0.03,2.17,-1.05,-0.55,0.09,0,0,-0.19,0.12,0.02,0.22,0,0,0.06,-0.15,3.4089,-,0,132.12,48.4128,-1.38,2.3618,-34.6452,2.28,4936625661.24,0,0,1,1,0,1,0,0
000038.SZ, 深大通,9.55,广东,传媒,1994/8/8,0.1521,0.2341,-4.4946,0.6706,0.9278,0.062,-0.51,0.021,0.0216,0.02,0.28,0.22,1.7,0.18,0,0,-1.37,-0.16,5.4881,-,0,10000,0,7.79,5.3173,-3.0557,1.74,6048534737.83,0,0,1,1,0,1,0,0
000039.SZ, 中集集团,18.47,广东,机械设备,1994/4/8,1.41,0.37,1.1,0.81,0.14,0.71,0.92,0.81,0.73,1.37,1.13,0.36,0.53,1.19,0,1,0.96,0.82,12.24,是,1,19.24,27.9031,0.17,1.1026,0.6241,1.51,59209873827.30,1,0,0,1,0,1,0,0
000040.SZ, 东旭蓝天,3.33,广东,公用事业,1994/8/8,-0.6866,-0.6435,0.83,0.41,0.19,0.13,0.11,0.22,0.41,0.3,0.21,0.14,-0.24,0.16,0,0,-0.17,0.25,8.187,-,0,10000,0,-1.68,1.3174,2.0533,0.41,3910478278.10,0,0,0,1,1,1,1,0
000042.SZ, 中洲控股,7.58,广东,房地产,1994/9/21,0.4232,1.184,0.6719,0.9256,0.3959,0.8377,0.6381,1.6934,1.72,1.3325,1.5114,1.1135,0.0283,0.8427,0,1,0.76,1.35,11.8431,是,1,9.98,10.135,-0.44,1.8017,0.3068,0.64,5617823124.55,0,1,0,1,1,1,1,1
000045.SZ, 深纺织Ａ,8.88,广东,电子,1994/8/15,0.07,0.04,-0.04,0.1,-0.17,0.02,-0.22,0.1,-0.24,0.15,0.14,0.16,0.19,0.05,0,0,0.02,-0.12,5.4478,是,1,380.57,0,-1.19,3.9666,42.3387,1.63,4112955459.90,0,0,1,1,0,1,0,0
000046.SZ, 泛海控股,1.99,北京,非银金融,1994/9/12,-0.8894,0.2107,0.1791,0.5564,0.6045,0.4433,0.342,0.2592,0.1716,0.0566,0.054,0.177,0.094,0.853,0,1,-0.17,0.26,3.1959,-,0,10000,47.4604,-1.65,1.1855,0.0951,0.62,15328791935.20,0,0,0,1,1,1,1,0
000047.SZ, ST中侨,0,广东,-,1994/10/21,0,0,0,0,0,0,0,0,0,-0.3127,0,0.1662,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,966848793.46,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!
000048.SZ, 京基智农,18.19,广东,农林牧渔,1994/11/1,2.153,2.735,1.1193,0.7083,0.0153,0.52,0.29,-0.0231,0.0709,1.2361,-0.1207,0.1171,0.0924,0.062,0,0,2,0.11,6.8384,是,1,9.08,27.4219,16.78,1.0878,-1.6905,2.66,11853381477.95,0,1,0,1,0,1,0,0
