Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,Price201231,
000411.SZ, 英特集团,12.27,浙江,医药生物,1996-07-16,0.63,0.63,0.66,0.45,0.4,0.42,0.33,0.32,0.36,0.33,0.9,0.2,0.151,0.09,0.13,0,1,0.64,0.336666667,6.9968,是,1,19.171875,0,0.900990099,1.39023151,0.916399912,1.753658815,3450307499,0,0,0,1,0,1,0,0,19.38
000412.SZ, ST五环,0,吉林,-,1996-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,835099243.6,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000413.SZ, 东旭光电,1.77,河北,电子,1996-09-25,-0.49,-0.59,-0.2,0.38,0.33,0.29,0.48,0.33,0.51,0.37,0.031,0.004,-0.08,0.01,0.03,0,0,-0.426666667,0.44,4.3043,-,0,10000,0,-1.96969697,0.998942624,1.147322115,0.41121669,11002080227,0,0,0,1,1,1,1,0,2.56
000415.SZ, 渤海租赁,2.12,新疆,非银金融,1996-07-16,-0.1998,-1.2492,0.2992,0.3686,0.43,0.37,0.37,0.55,0.83,0.3876,0.4311,0.01,-0.2857,-0.2864,0.0438,0,0,-0.383266667,0.583333333,4.1385,-,0,10000,0,-1.657028571,0.415042582,0.086014464,0.512262897,13605946820,0,0,0,1,1,1,1,0,2.4
000416.SZ, 民生控股,3.67,山东,非银金融,1996-07-19,0.0256,0.0658,0.0534,0.0376,0.0512,0.0313,0.0401,0.1653,0.0084,0.1104,0.06,0.0269,0.1228,-0.0228,0.0078,0,1,0.048266667,0.071266667,1.6861,是,1,76.0359116,0,-0.322731525,28.21082466,-18.40643971,2.176620604,2265772564,0,0,1,1,0,1,0,0,5.76
000417.SZ, 合肥百货,4.91,安徽,商业贸易,1996-08-12,0.2319,0.1757,0.2047,0.2879,0.2733,0.3635,0.3364,0.4693,0.5613,0.5243,1.0029,0.5956,0.4186,0.326,0.2714,0,1,0.2041,0.455666667,5.3541,是,1,24.05683488,0,-0.552084857,1.03640031,4.26498322,0.91705422,3915018684,0,0,0,1,1,1,1,1,4.82
000418.SZ, 小天鹅A,0,江苏,-,1997-03-28,0,0,0,2.94,2.38,1.86,1.45,1.1,0.65,0.54,0.72,0.8,0.41,0.07,0.91,0,0,0,1.066666667,0,-,0,10000,0,-1,0,0,#DIV/0!,36298472776,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000419.SZ, 通程控股,5.14,湖南,商业贸易,1996-08-16,0.2547,0.3332,0.3209,0.2602,0.2353,0.1881,0.1884,0.2634,0.2791,0.2858,0.5018,0.3002,0.1619,0.1103,0.3057,0,1,0.302933333,0.243633333,5.5607,是,1,16.96742958,0,0.24339855,1.844035579,-9.471324283,0.924344057,2370020376,0,0,0,1,1,1,1,1,4.67
000420.SZ, 吉林化纤,3.39,吉林,化工,1996-08-02,-0.0596,-0.1076,0.0461,0.0672,0.0433,0.0279,0.0201,0.0501,-1.0404,0.0262,-0.7772,-0.2088,0.05,-0.95,0.21,0,0,-0.040366667,-0.3234,1.3664,-,0,10000,0,-0.875180375,0.429486331,0.794132614,2.480971897,6938596618,0,0,0,1,0,1,0,0,1.89
000421.SZ, 南京公用,4.66,江苏,公用事业,1996-08-06,0.1723,0.3931,0.1767,0.2501,0.2594,0.3363,0.3984,0.4673,0.1891,0.2661,0.252,0.1662,0.1448,0.148,0.2584,0,1,0.247366667,0.3516,5.0009,是,1,18.83843148,0,-0.296454304,1.090342014,0.45089905,0.93183227,3080840505,0,0,0,1,1,1,1,1,6.78
000422.SZ, ST宜化,19.72,湖北,化工,1996-08-15,1.7475,0.129,0.092,0.23,-5.739,-1.431,0.039,0.035,0.076,0.965,1.508,1.056,0.438,0.486,0.716,0,0,0.656166667,0.05,2.6816,-,0,30.05334011,0,12.12333333,0.610239107,0.205115415,7.353818616,4579120231,0,0,0,1,0,1,0,0,3.2
000423.SZ, 东阿阿胶,30.8,山东,医药生物,1996-07-29,0.68,0.07,-0.68,3.1878,3.1258,2.8324,2.4847,2.0879,1.8392,1.5905,1.3091,0.8902,0.6232,0.5451,0.3929,0,0,0.023333333,2.137266667,15.2488,是,1,1320,0,-0.989082629,6.015721947,-3.213918927,2.019831069,21824698690,0,0,1,1,0,1,0,0,38.71
000425.SZ, 徐工机械,5.58,江苏,机械设备,1996-08-28,0.7052,0.4505,0.432,0.261,0.14,0.03,0.007,0.2,0.72,1.2,1.64,3.22,2.01,0.203,0.05,0,1,0.529233333,0.309,4.6522,-,0,10.54355357,0,0.712729234,1.349125606,1.696073233,1.199432527,57969146382,1,1,0,1,1,1,1,1,5.37
000426.SZ, 兴业矿业,6.16,内蒙古,有色金属,1996-08-28,0.1342,-0.1001,0.0556,-0.0918,0.3024,0.0568,-0.0208,0.2711,0.1441,0.296,0.4904,-0.13,0.21,-0.35,0.02,0,0,0.0299,0.131466667,2.9201,-,0,206.0200669,0,-0.772565923,0.244441992,0.835649378,2.109516797,13503362810,0,0,0,1,0,1,0,0,7.84
000428.SZ, 华天酒店,3.64,湖南,休闲服务,1996-08-08,0.0827,-0.5038,0.049,-0.469,0.107,-0.28,0.02,-0.14,0.17,0.14,0.16,0.25,0.26,0.37,0.47,0,0,-0.124033333,0.016666667,2.0739,-,0,10000,0,-8.442,0.349096613,0.845883802,1.755147307,3016020960,0,0,0,1,0,1,0,0,2.64
000429.SZ, 粤高速Ａ,8.27,广东,交通运输,1998-02-20,0.81,0.42,0.6,0.8,0.72,0.52,0.37,0.25,0.1,0.14,0.17,0.31,0.26,0.32,0.39,0,1,0.61,0.24,4.2962,是,1,13.55737705,0,1.541666667,2.701863822,2.362464868,1.924956939,15095620230,0,1,1,1,0,1,0,0,6.05
000430.SZ, 张家界,6.13,湖南,休闲服务,1996-08-29,-0.33,-0.23,0.03,0.07,0.19,0.19,0.36,0.19,0.1627,0.3154,0.2794,0.0915,-0.19,-0.12,0.03,0,0,-0.176666667,0.237566667,3.3776,-,0,10000,0,-1.743650905,0.207308277,0.664582378,1.814898153,2145533736,0,0,0,1,0,1,0,0,4.83
