Code,Name,Close,Location,Industry,List_date,EPS_2022,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2020_22,AVG_EPS_2015_17,Net_Asset,Div,Dividend,PE20_22,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,x1,x2,x3,x4,x5,x6,x7,x8,Price201231,YTDchg
601606.SH, 长城军工,12.87,安徽,国防军工,2018-08-06,0.11,0.19,0.16,0.14,0.15,0.2,0.08,0.2,0.15,0.22,0.17,0.14,0,0,0,0,0,1,0.153333333,0.16,3.6051,是,1,83.93478261,20.82587639,-0.041666667,2.226122144,-36.08238302,3.569942581,9465665188,0,0,1,0,0,0,0,0,11.98,25.67307692
601607.SH, 上海医药,17.88,上海,医药生物,1994-03-24,1.61,1/1/1900,1.58,1.44,1.3717,1.3093,1.1887,1.0699,0.9636,0.8341,0.7635,0.8437,0.6867,0.305,0.144,0.12,0,1,1.66,1.1893,18.1372,是,1,10.77108434,40.21596891,0.39577903,1.350722357,1.364909908,0.9858192,66066830147,1,1,0,1,1,1,1,1,19.2,0.05608525
601608.SH, 中信重工,3.81,河南,机械设备,2012-07-06,0.034,0.052,0.05,0.03,0.02,0.01,-0.37,0.02,0.15,0.18,0.36,0.4,0.31,0.2,0,0,0,0,0.045333333,-0.113333333,1.7594,是,1,84.04411765,33.99562045,-1.4,1.228494489,0.99344202,2.16551097,16663370085,0,0,0,1,0,1,0,0,3.96,10.0286533
601609.SH, 金田铜业,6.53,浙江,有色金属,2020-04-22,0.28,0.49,0.37,0.41,0.35,0.36,0.24,0.14,0.12,0.08,0,0,0,0,0,0,0,1,0.38,0.246666667,4.9452,是,1,17.18421053,31.09705413,0.540540541,1.661114727,0.943515572,1.320472377,9864165318,0,0,0,0,1,0,0,0,10.15,-1.331360947
601611.SH, 中国核建,7.33,上海,建筑装饰,2016-06-06,0.54,0.48,0.42,0.39,0.34,0.32,0.33,0.38,0.34,0.29,0.23,0.21,0,0,0,0,0,1,0.48,0.343333333,5.638,是,1,15.27083333,13.59527583,0.398058252,1.030755542,-0.163071326,1.300106421,22309458493,0,0,0,0,1,0,0,1,7.28,-2.763157895
601615.SH, 明阳智能,14.93,广东,电气设备,2019-01-23,1.58,1/1/1900,0.9,0.53,0.39,0,0.66,0,0.54,0,0,0,0,0,0,0,0,0,1.36,0.22,12.3735,是,1,10.97794118,19.99967413,5.181818182,1.25062445,2.202098176,1.206610902,34920389561,0,1,0,0,1,0,0,1,18.98,-39.15281077
601616.SH, 广电电气,3.29,上海,电气设备,2011-02-01,0.0679,0.0851,0.0809,0.1881,0.1332,0.0237,-0.1202,0.0085,0.0416,0.0585,0.0422,0.4144,0.4912,0.5172,0.2797,0.2099,0,0,0.077966667,-0.029333333,2.6204,是,1,42.19752031,100.6617058,-3.657954545,4.207408907,-2.048864288,1.255533506,3115464750,0,0,1,1,1,1,1,0,3.26,-1.769911504
601618.SH, 中国中冶,3.64,北京,建筑装饰,2009-09-21,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0.15,0,4.4687,是,1,24.26666667,16.74455425,-999,1.135704904,0.717743769,0.814554568,76677390929,1,0,0,1,1,1,1,1,2.73,16.35220126
601619.SH, 嘉泽新能,4,宁夏,公用事业,2017-07-20,0.22,0.31,0.09,0.15,0.14,0.0906,0.0787,0.0357,0.0371,0.0321,0.0097,0,0,0,0,0,0,1,0.206666667,0.068333333,2.3666,是,1,19.35483871,36.37103206,2.024390244,0.891746101,0.881442189,1.690188456,9737280120,0,0,0,0,0,0,0,0,3.4,6.100795756
601628.SH, 中国人寿,35.63,北京,非银金融,2007-01-09,1.14,1/1/1900,1.77,2.05,0.39,1.13,0.66,1.22,1.14,0.88,0.39,0.65,1.19,1.16,0.36,0.99,0,1,1.57,1.003333333,15.43,是,1,22.69426752,43.16970716,0.564784053,0,0,2.309138043,1.06E+12,1.00E+00,0,0,1,0,1,0,0,38.39,0.565732759
601633.SH, 长城汽车,26.11,河北,汽车,2011-09-28,0.91,0.73,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,7.4009,是,1,35.28378378,30.68542092,-999,1.123991864,1.303704883,3.527949303,2.26E+11,1.00E+00,0,0,1,0,1,0,0,37.81,-10.09453072
601636.SH, 旗滨集团,8.73,湖南,建筑材料,2011-08-12,0.489,1/1/1900,0.6871,0.5159,0.456,0.4538,0.3335,0.0695,0.2795,0.558,0.289,0.375,0.657,1.195,0.102,0,0,1,0.9114,0.2856,4.6013,是,1,9.578670178,50.83207506,2.191176471,1.339458805,2.782840904,1.897289896,24124672516,0,1,0,1,0,1,0,1,12.8,-21.07111501
601658.SH, 邮储银行,4.86,北京,银行,2019-12-10,0.85,0.78,0.71,0.72,0.62,0.59,0.55,0,0,0,0,0,0,0,0,0,0,0,0.78,0.38,7.41,是,1,6.230769231,30.00755833,1.052631579,0,0,0.655870445,4.86E+11,1.00E+00,1,0,0,1,0,0,1,4.78,6.060606061
601665.SH, 齐鲁银行,3.92,山东,银行,0000-00-00,0.71,0.64,0.59,0.54,0.5,0.66,0.58,0.46,0.46,0,0,0,0,0,0,0,0,0,0.646666667,0.566666667,6.34,是,1,6.06185567,23.75156201,0.141176471,0,0,0.61829653,18140555830,0,1,0,#VALUE!,1,#VALUE!,#VALUE!,1,0,-5.035971223
601666.SH, 平煤股份,8.55,河南,采掘,2006-11-23,2.4727,1/1/1900,0.6046,0.495,0.3029,0.5832,0.319,-0.9053,0.0841,0.2824,0.475,0.782,1.0185,1.0088,2.4759,1.0263,0,0,1.446833333,-0.001033333,9.0537,是,1,5.909457436,35.18417763,-1401.16129,0.530981654,0.713060754,0.944365287,21310712077,0,1,0,1,1,1,1,1,5.93,-14.80111008
601668.SH, 中国建筑,5.63,北京,建筑装饰,2009-07-29,1.23,1/1/1900,1.07,0.96,0.85,1.05,0.94,0.83,0.75,0.67,0.52,0.45,0.31,0.25,0.15,0.29,0.14,1,1.183333333,0.94,8.93,是,1,4.757746479,20.79836816,0.258865248,1.311680333,0.467549106,0.630459127,2.40E+11,1.00E+00,1,0,1,1,1,1,1,4.97,5.340699816
601669.SH, 中国电建,5.15,北京,建筑装饰,2011-10-18,0.6828,0.4979,0.4632,0.4567,0.4842,0.4788,0.4714,0.3807,0.4986,0.4746,0.4265,0.4924,0,0,0,0,0,1,0.547966667,0.443633333,6.7843,是,1,9.398381897,18.08714189,0.235179202,0.879830484,-0.323316848,0.759105582,8.94E+10,1,1,0,1,1,1,1,1,3.88,-26.69491525
601677.SH, 明泰铝业,14,河南,有色金属,2011-09-19,1.5,1/2/1900,1.43,1.51,0.84,0.72,0.59,0.41,0.44,0.15,0.16,0.72,0.7063,0.4509,0.1058,0,0,1,1.86,0.573333333,12.4242,是,1,7.52688172,10.07074562,2.244186047,2.361935456,8.958815221,1.126833116,15704975686,0,1,1,1,1,1,1,1,14.14,-19.0738699
601678.SH, 滨化股份,4.46,山东,化工,2010-02-23,0.59,0.95,0.27,0.28,0.45,0.7,0.3,0.44,0.55,0.38,0.56,0.92,0.8,0.81,0.25,0.78,1.4,1,0.603333333,0.48,5.5071,是,1,7.392265193,22.29014089,0.256944444,0.974128923,3.370328433,0.809863631,9281743605,0,1,0,1,1,1,1,1,5.25,-12.25680934
