Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,Price201231
000011.SZ, 深物业A,12.9600,广东,房地产,1992-03-30,1.3399 ,1.3722 ,0.9945 ,1.0453 ,0.5954 ,0.2631 ,0.7005 ,0.5048 ,0.6299 ,0.4300 ,0.2936 ,0.1626 ,0.0181 ,-0.0505,0.0000 ,1,1.24,0.61,6.2551,是,1,10.49,26.2351,1.02 ,2.2413,28.4008,2.07,7235186177,0,1,1,1,0,1,0,1,12.1700
000012.SZ, 南  玻Ａ,7.4200,广东,建筑材料,1992-02-28,0.2500 ,0.1700 ,0.1600 ,0.3500 ,0.3800 ,0.3000 ,0.4200 ,0.7400 ,0.1300 ,0.5700 ,0.7000 ,0.6800 ,0.3500 ,0.4100 ,0.0000 ,1,0.19,0.43,3.3260,是,1,38.38,40.0701,-0.55 ,1.2149,3.3333,2.23,27329159752,0,0,0,1,0,1,0,0,7.3800
000013.SZ, *ST石化A,0.0000,广东,-,1992-05-06,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0,0.00,0.00,0.0000,-,0,10000.00,0.0000,-999.00 ,0.0000,0.0000,#DIV/0!,749286798.1,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0.0000
000014.SZ, 沙河股份,12.2200,广东,房地产,1992-06-02,0.0200 ,0.1000 ,0.7238 ,0.0378 ,0.1418 ,0.2626 ,0.3013 ,0.1426 ,0.1386 ,0.2692 ,0.3500 ,0.3977 ,0.2160 ,0.0140 ,0.0000 ,1,0.28,0.19,4.4335,是,1,43.45,10.5228,0.45 ,1.6900,2.5130,2.76,1557164044,0,0,0,1,0,1,0,0,8.2800
000015.SZ, PT中浩A,0.0000,广东,-,1992-06-25,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,-0.3533,-0.3528,-0.3525,-0.3520,-0.3526,-0.3600,-0.3500,0.0000 ,0,0.00,-0.24,0.0000,-,0,10000.00,0.0000,-1.00 ,0.0000,0.0000,#DIV/0!,1076911927,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0.0000
000016.SZ, 深康佳Ａ,5.4900,广东,家用电器,1992-03-27,0.1984 ,0.0881 ,0.1708 ,2.1001 ,0.0397 ,-0.5200,0.0437 ,0.0375 ,0.0381 ,0.0207 ,0.0697 ,0.1255 ,0.2083 ,0.3480 ,0.0000 ,0,0.15,0.04,3.5003,是,1,36.02,56.7820,2.83 ,0.9318,0.2616,1.57,15218214979,0,0,0,1,0,1,0,0,6.6100
000017.SZ, *ST中华A,3.3600,广东,汽车,1992-03-31,0.0069 ,-0.0130,-0.0029,0.0030 ,0.0047 ,-0.0003,0.0089 ,2.8570 ,-0.0951,0.0720 ,0.1169 ,-0.2206,-0.0936,0.1314 ,0.0000 ,0,0.00,0.92,0.0198,-,0,10000.00,0.0000,-1.00 ,1.3125,-2.1825,169.70,1587882087,0,0,0,1,0,1,0,0,2.4100
000018.SZ, 神城A退,0.0000,北京,-,1992-06-16,0.0000 ,0.0000 ,-1.0040,0.2200 ,0.2800 ,1.5000 ,0.0254 ,0.0486 ,0.0000 ,-0.1000,0.0200 ,0.0700 ,-0.1500,-0.6900,0.0000 ,0,-0.33,0.02,0.0000,-,0,10000.00,0.0000,-14.57 ,0.0000,0.0000,#DIV/0!,458526153,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0.0000
000019.SZ, 深粮控股,8.5200,广东,商业贸易,1992-10-12,0.3515 ,0.3154 ,0.2675 ,-0.1089,0.2139 ,-0.1171,0.0443 ,0.1740 ,0.2970 ,0.0323 ,0.0310 ,-0.0700,0.0700 ,0.2400 ,0.0000 ,0,0.31,0.17,3.9872,是,1,27.35,63.4129,0.81 ,2.6883,4.0119,2.14,8298253829,0,0,1,1,0,1,0,0,7.5000
000020.SZ, 深华发Ａ,9.0800,广东,电子,1992-04-28,0.0241 ,0.0193 ,0.0116 ,0.0034 ,0.0193 ,-0.0238,0.0271 ,-0.0230,0.0115 ,0.0385 ,0.0324 ,0.0147 ,0.0267 ,0.0913 ,0.0000 ,0,0.02,0.01,1.1875,-,0,495.27,0.0000,2.53 ,1.4922,4.6230,7.65,2542787818,0,0,0,1,0,1,0,0,9.9900
