Code,Name,Close,Location,Industry,List_date,EPS_2022,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2020_22,AVG_EPS_2015_17,Net_Asset,Div,Dividend,PE20_22,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,x1,x2,x3,x4,x5,x6,x7,x8,Price201231
000050.SZ, 深天马Ａ,9.29,广东,电子,1995-03-15,0.0458,0.6276,0.6749,0.4049,0.4599,0.5761,0.4062,0.4901,0.7116,0.25,0.0948,0.1761,0.1226,-0.3581,0.0163,0.26,0,1,0.449433333,0.4908,12.2324,-,0,20.67047393,0,-0.084284162,1.03828875,0.880492689,0.759458487,22832475771,0,0,0,1,1,1,1,1,14.74
000055.SZ, 方大集团,5.02,广东,建筑装饰,1996-04-15,0.26,0.21,0.35,0.31,1.91,0.97,0.91,0.14,0.13,0.11,0.03,0.09,0.11,0.1,0.05,0.0629,0,1,0.273333333,0.673333333,5.3544,是,1,18.36585366,18.97747849,-0.594059406,1.244514797,2.298562519,0.937546691,5390848620,0,0,0,1,1,1,1,1,4.47
000056.SZ, 皇庭国际,4.07,广东,房地产,1996-07-08,-1.64,-1.01,-0.26,0.04,0.08,0.15,0.1,0.09,-1.26,10.51,0.08,-0.56,-0.75,0.03,-0.12,0.33,0,0,-0.97,0.113333333,1.7877,-,0,10000,0,-9.558823529,0.173015701,0.307578004,2.276668345,4925061090,0,0,0,1,0,1,0,0,3.03
000058.SZ, 深 赛 格,6.8,广东,商业贸易,1996-12-26,0.0128,0.0375,0.021,0.0635,0.0225,0.1777,0.1371,0.0946,0.0616,0.0692,0.0581,0.0879,0.0755,-0.3977,0.062,0.08,0,1,0.023766667,0.136466667,1.5661,是,1,286.115007,78.04104582,-0.825842697,1.60866211,-18.32584317,4.341996041,8372164570,0,0,0,1,0,1,0,0,6.72
000059.SZ, 华锦股份,6.36,辽宁,化工,1997-01-30,0.33,0.56,0.2,0.62,0.63,1.15,1.13,0.21,-1.3216,-0.1293,0.0163,0.7014,0.3437,0.1634,0.3206,0.2,0,0,0.363333333,0.83,9.02,是,1,17.50458716,39.92737242,-0.562248996,1.647434104,2.731969597,0.705099778,10172454535,0,0,0,1,1,1,1,1,5.52
000060.SZ, 中金岭南,5.7,广东,有色金属,1997-01-23,0.28,0.27,0.26,0.24,0.26,0.46,0.15,0.09,0.23,0.2,0.21,0.46,0.45,0.4,0.39,1.65,0,1,0.27,0.233333333,3.8121,是,1,21.11111111,30.83045903,0.157142857,1.014425226,1.01217818,1.495238845,21304006033,0,0,0,1,1,1,1,0,4.82
000061.SZ, 农 产 品,6.94,广东,商业贸易,1997-01-10,0.1177,0.2205,0.1858,0.1828,0.0252,0.0082,0.0521,0.0121,0.0497,0.0666,0.0346,0.2691,0.36,0.11,0.13,0.44,0,1,0.174666667,0.024133333,3.3839,是,1,39.73282443,33.99698272,6.237569061,0.440472782,0.718880416,2.050888029,11776931069,0,0,0,1,0,1,0,0,7.05
000062.SZ, 深圳华强,11.87,广东,电子,1997-01-30,0.9106,0.8447,0.5971,0.6024,0.9504,0.5716,0.5904,0.5556,0.72,0.618,0.422,0.07,0.29,0.3,0.15,0.38,0,1,0.784133333,0.572533333,6.7175,是,1,15.13773168,32.9452608,0.369585468,1.571538974,1.339211593,1.767026424,12414943652,0,0,0,1,0,1,0,0,12.44
000063.SZ, 中兴通讯,39.36,广东,通信,1997-11-18,1.71,1/1/1900,0.92,1.22,-1.67,1.08,-0.57,0.77,0.77,0.39,-0.83,0.61,1.15,1.35,1.2,1.29,0,0,1.366666667,0.426666667,12.38,是,1,28.8,23.46263159,2.203125,1.758067964,2.180902447,3.179321486,1.88E+11,1.00E+00,0,0,1,0,1,0,0,33.65
000065.SZ, 北方国际,15.12,北京,建筑装饰,1998-06-05,0.65,0.78,0.9,0.91,0.77,0.97,0.95,0.82,0.73,0.74,0.74,0.45,0.27,0.35,0.22,-0.29,0,1,0.776666667,0.913333333,7.6043,是,1,19.46781116,10.00008622,-0.149635036,1.617400094,1.7657534,1.988348697,15146664362,0,0,0,1,0,1,0,0,7.46
000066.SZ, 中国长城,12.31,广东,计算机,1997-06-26,0.038,0.204,0.317,0.38,0.336,0.204,0.025,-0.027,0.044,0.022,-0.181,0.076,0.167,0.795,0.021,0.214,0,0,0.186333333,0.067333333,4.2366,是,1,66.06440072,18.77321978,1.767326733,1.672693843,1.682467128,2.905631875,39709586773,0,0,0,1,0,1,0,0,18.99
000068.SZ, 华控赛格,3.56,广东,公用事业,1997-06-11,-0.2162,-0.0971,-0.165,0.006,-0.132,0.0324,0.0099,0.007,-0.1208,-0.0415,0.0035,-0.0456,0.0395,-2.1484,0.0231,-0.2443,0,0,-0.159433333,0.016433333,0.0453,-,0,10000,0,-10.70182556,0.604614489,-0.048053443,78.58719647,3583750412,0,0,0,1,0,1,0,0,3.25
000069.SZ, 华侨城Ａ,4.88,广东,房地产,1997-09-10,-1.3296,0.4727,1.5633,1.5044,1.2907,1.0533,0.8395,0.637,0.6566,0.6062,0.5294,0.568,0.978,0.551,0.35,0.66,0,0,0.235466667,0.843266667,8.0179,-,0,20.72480181,0,-0.72076844,1.624720696,0.292088939,0.608638172,40024754305,0,0,0,1,1,1,1,1,7.09
000070.SZ, 特发信息,8.02,广东,通信,2000-05-11,0.0157,-0.7505,0.014,0.4096,0.4393,0.4236,0.6245,0.3349,0.2051,0.23,0.19,0.1471,0.251,0.1653,0.1417,0.0442,0,0,-0.240266667,0.461,2.0419,-,0,10000,0,-1.521185828,1.355580594,0.318517707,3.927714384,7220764975,0,0,0,1,0,1,0,0,9.21
000078.SZ, 海王生物,3.21,广东,医药生物,1998-12-18,-0.3905,0.0355,-0.11,0.091,0.156,0.2427,0.1876,0.6467,0.0325,0.1644,0.0905,0.0805,0.0715,0.0217,0.0372,0.0626,0,0,-0.155,0.359,1.7053,-,0,10000,0,-1.431754875,1.061649143,0.166125664,1.882366739,8830174755,0,0,0,1,0,1,0,0,4.01
000088.SZ, 盐 田 港,5.11,广东,交通运输,1997-07-28,0.2,0.21,0.18,0.19,0.24,0.21,0.18,0.22,0.23,0.2,0.2111,0.2854,0.3295,0.3696,0.4602,0.5188,0,1,0.196666667,0.203333333,4.2151,是,1,25.98305085,22.4921465,-0.032786885,2.94702315,4.348143551,1.21230813,11493216527,0,0,1,1,1,1,1,0,6.32
000089.SZ, 深圳机场,7.27,广东,交通运输,1998-04-20,-0.5572,-0.0168,0.0137,0.2895,0.3257,0.3225,0.2743,0.2661,0.1584,0.2511,0.28,0.3544,0.4225,0.3402,0.142,0.3302,0,0,-0.186766667,0.287633333,5.2095,-,0,10000,0,-1.649322054,0.628437841,2.215302125,1.395527402,14909094330,0,0,0,1,1,1,1,0,8.17
000090.SZ, 天健集团,5.7,广东,房地产,1999-07-21,0.9713,0.9606,0.738,0.6042,0.54,0.5,0.37,0.71,0.76,0.6849,0.498,0.445,0.2426,0.1264,-0.3771,0.5692,0,1,0.889966667,0.526666667,5.6286,是,1,6.40473426,30.6658133,0.689810127,1.408260763,0.501253618,1.012685215,10650708974,0,1,0,1,1,1,1,1,5.94
