Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,,
000037.SZ, 深南电A,8.53,广东,公用事业,7/1/1994,-0.7291,0.1062,0.04,0.03,0.03,2.17,-1.05,-0.55,0.09,0,0,-0.19,0.12,0.02,0.22,0,0,-0.1943,0.19,2.6798,-,0,10000,0,-2.022631579,1.720976623,5.239166467,3.18,4430305081,0,0,0,1,0,1,0,0,10.92
000038.SZ, 深大通,4.8,广东,传媒,8/8/1994,-1.21,0.1521,0.2341,-4.4946,0.6706,0.9278,0.062,-0.51,0.021,0.0216,0.02,0.28,0.22,1.7,0.18,0,0,-0.2746,0.159933333,4.2861,-,0,10000,0,-2.716965402,3.257564583,-3.637993845,1.12,2300220644,0,0,1,1,1,1,1,0,9.6
000039.SZ, 中集集团,7.34,广东,机械设备,4/8/1994,1.8,1.41,0.37,1.1,0.81,0.14,0.71,0.92,0.81,0.73,1.37,1.13,0.36,0.53,1.19,0,1,1.193333333,0.59,12.55,是,1,6.150837989,0,1.02259887,1.173355314,0.726920941,0.58,39958576053,0,1,0,1,1,1,1,1,14.99
000040.SZ, 东旭蓝天,4.06,广东,公用事业,8/8/1994,-0.397,-0.6866,-0.6435,0.83,0.41,0.19,0.13,0.11,0.22,0.41,0.3,0.21,0.14,-0.24,0.16,0,0,-0.5757,0.143333333,7.7917,-,0,10000,0,-5.016511628,1.17103601,1.865950141,0.52,5917758003,0,0,0,1,1,1,1,0,3.49
000042.SZ, 中洲控股,8.84,广东,房地产,9/21/1994,0.3097,0.4232,1.184,0.6719,0.9256,0.3959,0.8377,0.6381,1.6934,1.72,1.3325,1.5114,1.1135,0.0283,0.8427,0,1,0.638966667,0.6239,12.1028,是,1,13.8348375,0,0.024149169,1.935751469,0.302330402,0.73,7306494218,0,1,0,1,1,1,1,1,9.14
000045.SZ, 深纺织Ａ,11.6,广东,电子,8/15/1994,0.12,0.07,0.04,-0.04,0.1,-0.17,0.02,-0.22,0.1,-0.24,0.15,0.14,0.16,0.19,0.05,0,0,0.076666667,-0.123333333,5.5611,是,1,151.3043478,41.40795484,-1.621621622,3.723259594,6.269957788,2.09,4330761809,0,0,1,1,0,1,0,0,7.17
000046.SZ, 泛海控股,1.39,北京,非银金融,9/12/1994,-2.1659,-0.8894,0.2107,0.1791,0.5564,0.6045,0.4433,0.342,0.2592,0.1716,0.0566,0.054,0.177,0.094,0.853,0,0,-0.9482,0.463266667,1.1133,-,0,10000,0,-3.046769319,0.773530855,-0.002373605,1.25,6651136840,0,0,0,1,1,1,1,0,3.28
000047.SZ, ST中侨,0,广东,-,10/21/1994,0,0,0,0,0,0,0,0,0,0,-0.3127,0,0.1662,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,966848793.5,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000048.SZ, 京基智农,18.54,广东,农林牧渔,11/1/1994,0.7441,2.153,2.735,1.1193,0.7083,0.0153,0.52,0.29,-0.0231,0.0709,1.2361,-0.1207,0.1171,0.0924,0.062,0,0,1.877366667,0.2751,4.8406,是,1,9.87553488,174.7089381,5.824306313,0.784422073,0.403257417,3.83,8790419400,0,1,0,1,0,1,0,0,22.9
000049.SZ, 德赛电池,50.64,广东,电子,3/20/1995,2.6423,3.2321,2.4409,1.9556,1.4643,1.2439,1.1217,1.1428,1.5057,1.0498,0.872,0.5216,-0.2605,0.0114,0.0522,0,1,2.771766667,1.169466667,11.4198,是,1,18.26993614,28.37415487,1.370111732,1.269756417,1.813610131,4.43,13857548277,0,0,0,1,0,1,0,0,67.6
