Code,Name,Close,Location,Industry,List_date,EPS_2022,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2020_22,AVG_EPS_2015_17,Net_Asset,Div,Dividend,PE20_22,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,x1,x2,x3,x4,x5,x6,x7,x8,Price201231,YTDchg,YTD_AVG
000015.SZ, PT中浩A,0,广东,-,1992-06-25,0,0,0,0,0,0,0,0,0,-0.3533,-0.3528,-0.3525,-0.352,-0.3526,-0.36,-0.35,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,954285459.4,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0,0,0
000016.SZ, 深康佳Ａ,3.78,广东,家用电器,1992-03-27,-0.6111,0.376,0.1984,0.0881,0.1708,2.1001,0.0397,-0.52,0.0437,0.0375,0.0381,0.0207,0.0697,0.1255,0.2083,0.348,0,0,-0.012233333,0.539933333,3.173,-,0,10000,0,-1.022657118,1.181701765,0.283211842,1.191301607,9102033642,0,0,0,1,1,1,1,0,6.61,-9.352517986,3.800250354
000017.SZ, *ST中华A,12.8,广东,汽车,1992-03-31,-0.013,-0.0036,0.0069,-0.013,-0.0029,0.003,0.0047,-0.0003,0.0089,2.857,-0.0951,0.072,0.1169,-0.2206,-0.0936,0.1314,0,0,-0.003233333,0.002466667,0.421,-,0,10000,0,-2.310810811,4.307935165,-5.400883385,30.40380048,8821567142,0,0,1,1,0,1,0,0,2.41,194.2528736,11.06212917
000018.SZ, 神城A退,0,北京,-,1992-06-16,0,0,0,0,-1.004,0.22,0.28,1.5,0.0254,0.0486,0,-0.1,0.02,0.07,-0.15,-0.69,0,0,0,0.666666667,0,-,0,10000,0,-1,0,0,#DIV/0!,458526153,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0,0,0
000019.SZ, 深粮控股,7.4,广东,商业贸易,1992-10-12,0.3649,0.372,0.3515,0.3154,0.2675,-0.1089,0.2139,-0.1171,0.0443,0.174,0.297,0.0323,0.031,-0.07,0.07,0.24,0,0,0.3628,-0.004033333,4.1326,是,1,20.3969129,68.50625939,-90.95041322,1.676224399,3.214753265,1.790640275,8528760880,0,0,0,1,0,1,0,0,7.5,-1.856763926,7.251697544
000020.SZ, 深华发Ａ,20.83,广东,电子,1992-04-28,0.0358,0.0254,0.0241,0.0193,0.0116,0.0034,0.0193,-0.0238,0.0271,-0.023,0.0115,0.0385,0.0324,0.0147,0.0267,0.0913,0,0,0.028433333,-0.000366667,1.2487,-,0,732.5908558,0,-78.54545455,1.707442694,32.91859668,16.6813486,5898248358,0,0,0,1,0,1,0,0,9.99,60.84942085,15.79891407
000021.SZ, 深科技,13.2,广东,电子,1994-02-02,0.4223,0.5065,0.5826,0.2395,0.3603,0.3679,0.1457,0.1228,0.1332,0.171,0.0709,0.1906,0.2913,0.29,0.3598,0.8064,0,1,0.5038,0.212133333,6.6122,是,1,26.20087336,30.78302446,1.374921433,1.241041544,2.727496788,1.996309851,20599756162,0,0,0,1,0,1,0,0,19.01,-18.5687847,13.6764278
000023.SZ, 深天地Ａ,6,广东,建筑材料,1993-04-29,-1.9511,-0.3822,-0.0573,0.3663,0.1897,0.2198,0.0717,0.1926,0.1243,0.1083,0.0373,0.0668,0.0948,0.177,0.1536,0.1453,0,0,-0.796866667,0.161366667,1.0093,-,0,10000,0,-5.938235902,0.999864538,-1.372950825,5.944714158,832537440,0,0,0,1,0,1,0,0,16.3,-5.213270142,6.140733416
000024.SZ, 招商地产,0,广东,-,1993-06-07,0,0,0,0,0,0,0,0,1.66,2.447,1.9323,1.5092,1.17,0.9574,0.9408,1.52,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,1.04E+11,1.00E+00,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0,0,0
000025.SZ, 特  力Ａ,17.49,广东,汽车,1993-06-21,0.1937,0.304,0.1338,0.5096,0.2924,0.2249,0.0915,0.1538,0.047,0.0313,0.0324,0.0098,0.0163,0.0286,0.02,0.05,0,1,0.2105,0.156733333,3.4929,是,1,83.08788599,14.45531925,0.343045513,2.108290085,-6.52405313,5.007300524,7539210017,0,0,1,1,0,1,0,0,16.9,9.930861094,17.17627343
000026.SZ, 飞亚达,10.55,广东,轻工制造,1993-06-03,0.6398,0.9036,0.6764,0.4943,0.419,0.3196,0.2522,0.3099,0.371,0.331,0.295,0.406,0.377,0.281,0.259,0.244,0,1,0.739933333,0.2939,7.5101,是,1,14.25804126,39.05699901,1.517636384,3.136248068,39.10866225,1.404774903,4380570684,0,1,1,1,1,1,1,1,11.43,-3.740875912,10.520246
000027.SZ, 深圳能源,6.33,广东,公用事业,1993-09-03,0.3,0.32,0.78,0.43,0.17,0.19,0.34,0.45,0,0,0,0.43,0.64,0.91,0.47,0.79,0,0,0.466666667,0.326666667,5.9269,是,1,13.56428571,30.29340614,0.428571429,1.021440167,0.51210728,1.068011946,30114278168,0,1,0,1,1,1,1,1,6.09,-1.860465116,6.196909769
000028.SZ, 国药一致,30.05,广东,医药生物,1993-08-09,3.47,1/3/1900,3.27,2.97,2.83,2.47,2.8,2.1,1.9,1.81,1.65,1.15,0.91,0.67,0.537,0.434,0,1,3.286666667,2.456666667,37.6661,是,1,9.143002028,23.03758818,0.337856174,1.507934711,3.091685411,0.797799613,16724780564,0,1,0,1,1,1,1,1,45.8,3.656433253,28.95080505
000029.SZ, 深深房Ａ,11.89,广东,房地产,1993-09-15,0.1519,0.2183,0.2869,0.5461,0.4977,0.1829,0.308,0.2977,0.2946,0.2256,0.1056,0.1,0.0838,0.02,0.0189,0.0288,0,1,0.219033333,0.262866667,3.9581,是,1,54.28397504,40.14555003,-0.166751205,3.721228502,-150.9200378,3.00396655,12028637400,0,0,1,1,0,1,0,0,7.14,1.105442177,11.0295273
000030.SZ, 富奥股份,5,吉林,汽车,1993-09-29,0.29,0.48,0.52,0.5,0.49,0.64,0.52,0.39,0.48,0.44,-0.0128,5.0484,3.6934,0.0281,-0.2952,-0.0765,0,1,0.43,0.516666667,4.1264,是,1,11.62790698,85.82549601,-0.167741935,1.369768671,-74.12510169,1.211709965,8708215425,0,1,0,1,1,1,1,1,7.34,-6.367041199,5.083720181
000031.SZ, 大悦城,3.07,广东,房地产,1993-10-08,-0.67,0.03,-0.09,0.61,0.77,0.52,0.4,0.4,0.33,0.29,0.28,0.23,0.26,0.21,0.08,0.61,0,0,-0.243333333,0.44,3.5934,-,0,10000,0,-1.553030303,1.522012211,0.169300039,0.854344075,13158981951,0,0,0,1,1,1,1,0,4.4,3.367003367,2.882149989
000032.SZ, 深桑达Ａ,19,广东,通信,1993-10-28,-0.1425,0.3651,0.36,0.32,0.26,0.06,0.14,0.16,0.09,0.04,0.77,0.12,0.123,0.175,0.31,0.449,0,0,0.1942,0.12,4.8946,是,1,97.83728115,-56.10729113,0.618333333,1.2040185,0.362649,3.881828954,21621225446,0,0,0,1,0,1,0,0,17.9,-10.29272899,18.15262932
