No.,Ticker,Market Cap,Market_Cap,PE,Fwd_PE,PEG,PS,PB,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt_Eq,Debt_Eq,Gross_M,Oper_M,Profit_M,Earnings,Price,Change,Volume
229,HST,12.83B,12.83,52.13,20.56,1.84,3.6,2.04,1.29%,2.10%,4.00%,-1.60%,-,-,0.65,0.65,-,0.40%,7.20%,May 04/a,18.61,-4.32%,"10,485,121"
230,HSY,41.92B,41.92,26.58,23.9,2.8,4.49,10.4,1.74%,16.40%,61.70%,20.70%,1,0.6,1.4,1.7,45.50%,22.40%,17.30%,Apr 28/b,206.98,0.91%,"1,316,950"
231,HUM,54.35B,54.35,18.65,15.9,1.33,0.63,3.64,0.72%,7.00%,19.40%,9.20%,-,-,0.74,0.87,-,3.70%,3.50%,Apr 27/b,439.62,1.76%,"644,452"
232,HWM,13.47B,13.47,46.57,17.97,1.83,2.65,4.08,0.24%,3.00%,8.80%,7.00%,2.2,1,1.24,1.24,27.80%,12.60%,6.00%,May 03/b,33.16,-0.87%,"2,839,047"
233,IBM,114.95B,114.95,22.99,12.31,1.77,1.97,6.07,5.14%,-,-,6.50%,0.9,0.9,2.44,2.85,54.50%,-,-,Apr 19/a,128.48,-0.91%,"6,890,171"
234,ICE,52.96B,52.96,13.55,16.55,1.69,5.76,2.42,1.56%,2.40%,18.50%,8.80%,1,1,0.55,0.63,78.80%,53.80%,44.20%,May 05/b,97.62,1.79%,"3,223,637"
235,IDXX,30.04B,30.04,43.69,35.42,4.28,9.18,49.11,,29.90%,103.80%,48.00%,1.1,0.8,1.21,1.83,58.60%,28.50%,22.40%,May 04/b,372.23,2.03%,"768,208"
236,IEX,13.97B,13.97,29.74,22.62,2.48,4.88,4.87,1.29%,9.80%,17.20%,12.70%,3.6,2.7,0.41,0,44.50%,23.40%,16.60%,Apr 26/a,185.49,1.26%,"1,338,966"
237,IFF,31.95B,31.95,59.25,20.2,16.01,2.57,1.57,2.45%,1.40%,2.60%,1.60%,1.9,1.2,0.51,0.56,33.20%,7.40%,4.50%,May 09/a,128.93,-0.06%,"822,242"
238,ILMN,35.61B,35.61,53.11,46.91,37.93,7.65,3.51,,5.20%,7.50%,-2.00%,1.8,1.5,0.11,0.16,68.80%,-2.90%,15.00%,May 05/a,243.49,1.14%,"969,196"
239,INCY,16.72B,16.72,17.82,16.15,1.19,5.37,4.29,,20.60%,27.20%,25.30%,3.7,3.7,0.01,0.01,95.40%,19.40%,30.00%,May 03/b,74.88,0.73%,"1,287,087"
240,INTC,167.34B,167.34,6.93,11.54,2.11,2.15,1.65,3.51%,14.80%,26.30%,13.20%,2.1,1.7,0.32,0.36,54.30%,27.30%,31.70%,Apr 28/a,41.65,-0.86%,"44,526,312"
241,INTU,99.01B,99.01,46.92,26.7,2.81,8.67,6.67,0.74%,12.00%,19.20%,16.90%,1.2,1.2,0.43,0,82.10%,22.50%,19.00%,May 24/a,367.78,1.50%,"1,908,195"
242,IP,17.52B,17.52,15.16,9.72,0.79,0.88,2,3.90%,-,-,5.30%,1.7,1.3,0.62,0.64,28.40%,-,-,Apr 28/b,47.48,-0.71%,"3,927,545"
243,IPG,11.76B,11.76,11.99,10.65,2.14,1.11,3.47,3.78%,5.60%,30.80%,16.80%,1,1,0.83,0.85,17.50%,13.50%,9.70%,Apr 28/b,30.67,-0.13%,"3,140,886"
244,IPGP,5.11B,5.11,19.18,18.08,4.46,3.44,1.95,,9.00%,10.30%,10.00%,8.2,6.4,0.01,0.01,47.40%,25.10%,18.80%,May 03/b,100.09,1.77%,"802,574"
245,IQV,37.07B,37.07,36.39,17.37,2.4,2.64,6.38,,3.20%,13.00%,6.60%,0.9,0.9,1.99,2.01,34.00%,8.50%,5.50%,Apr 27/b,201.83,0.04%,"859,686"
246,IR,17.95B,17.95,35.04,17.05,1.97,3.35,2.04,0.18%,4.90%,8.40%,4.60%,2.9,2.2,0.38,0.38,38.50%,11.10%,14.10%,May 04/a,44.95,1.51%,"3,337,915"
247,IRM,14.26B,14.26,32.26,27.57,5.01,3.06,18.96,5.00%,3.00%,47.90%,6.60%,0.9,0.9,13.48,13.6,69.40%,19.40%,9.60%,Apr 28/b,49.49,1.77%,"3,036,361"
248,ISRG,74.42B,74.42,48.82,37.73,5.03,12.6,6.49,,12.50%,14.20%,13.90%,5.2,4.6,0,0,68.80%,30.70%,27.80%,Apr 21/a,219.07,0.43%,"1,810,992"
249,IT,19.51B,19.51,26.43,27.96,1.44,3.99,173.64,,11.20%,237.40%,26.10%,0.7,0.7,20.78,20.83,69.60%,18.50%,16.40%,May 03/b,250.04,0.56%,"630,059"
250,ITW,62.83B,62.83,23.72,20.16,2.33,4.23,17.61,2.42%,16.90%,75.50%,25.20%,1.7,1.2,1.9,2.19,40.70%,23.30%,18.10%,May 03/b,201.77,0.48%,"1,173,058"
251,IVZ,8.18B,8.18,6.52,6.51,4.87,1.19,0.75,4.04%,4.10%,11.80%,6.00%,-,-,0.81,0.81,68.80%,26.50%,19.30%,Apr 26/b,18.57,3.05%,"4,189,198"
252,J,17.11B,17.11,47.09,16.65,3.42,1.19,2.89,0.68%,2.50%,6.20%,5.10%,1.2,1.2,0.53,0.53,23.00%,6.00%,2.60%,May 03/b,135.94,1.62%,"651,264"
253,JBHT,16.85B,16.85,20.39,16.39,0.89,1.29,5.3,0.97%,12.90%,28.40%,18.30%,1.3,-,0.29,0.4,16.90%,9.00%,6.60%,Apr 18/a,164.38,2.34%,"1,057,589"
254,JCI,34.74B,34.74,29.63,13.7,1.7,1.41,2.16,2.74%,2.90%,7.10%,7.70%,1,0.8,0.45,0.58,33.40%,9.60%,5.00%,May 04/b,51.11,-1.50%,"4,147,298"
255,JKHY,13.08B,13.08,36.77,34,2.63,6.85,9.82,1.09%,15.70%,27.00%,22.00%,1.5,1.5,0.17,0.17,41.50%,24.50%,18.80%,May 03/a,179.12,0.56%,"400,590"
256,JNJ,468.39B,468.39,23.84,16.21,5.15,4.94,6.23,2.55%,11.10%,27.50%,19.40%,1.4,1.1,0.39,0.44,68.00%,22.40%,20.90%,Apr 19/b,176.98,1.75%,"7,498,869"
257,JNPR,9.09B,9.09,28.19,12.65,2.03,1.88,2.18,2.91%,3.90%,7.80%,4.50%,1.6,1.5,0.39,0,57.40%,8.70%,7.00%,Apr 26/a,28.87,0.24%,"5,237,925"
258,JPM,341.59B,341.59,8.71,9.36,1.21,5.78,1.38,3.41%,1.10%,15.90%,6.30%,-,-,1.16,1.16,-,96.30%,68.50%,Apr 13/b,117.34,-0.82%,"13,095,510"
259,K,22.86B,22.86,15.09,15.77,5.88,1.6,6.07,3.42%,8.40%,42.90%,11.80%,0.7,0.4,1.57,1.92,30.70%,12.60%,10.80%,May 05/b,67.74,-0.38%,"4,208,054"
260,KEY,17.00B,17,7.44,7.42,14.05,3.9,1.26,4.26%,1.30%,15.50%,14.00%,-,-,0.81,0.81,-,99.10%,53.80%,Apr 21/b,18.32,-0.22%,"9,843,846"
261,KEYS,23.96B,23.96,26.95,18.1,2.64,4.78,6.62,,12.30%,25.50%,17.30%,3,2.4,0.47,0.47,63.20%,22.70%,19.00%,May 17/a,137.8,0.51%,"1,408,077"
262,KHC,45.65B,45.65,48.08,13.77,-,1.78,0.95,4.17%,1.30%,2.50%,3.60%,1,0.7,0.42,0.44,33.10%,13.80%,4.80%,Apr 27/b,38.37,-0.49%,"10,075,706"
263,KIM,13.16B,13.16,13.96,32.42,3.03,8.72,1.37,3.63%,5.80%,11.10%,2.20%,-,-,0.76,0.76,69.70%,24.00%,57.50%,Apr 28/b,22.01,-2.48%,"6,752,452"
264,KLAC,46.97B,46.97,16.28,13.95,0.81,5.43,12.34,1.25%,27.90%,82.00%,32.30%,2.3,1.6,0.91,0.91,62.30%,39.30%,36.40%,Apr 28/a,335.48,-0.90%,"1,987,824"
265,KMB,43.38B,43.38,24.78,18.74,3.78,2.19,61.41,3.62%,9.70%,316.30%,22.00%,0.8,0.5,11.86,13.23,30.60%,12.20%,8.90%,Apr 22/b,128.34,-0.55%,"2,106,010"
266,KMI,42.44B,42.44,42.1,16.36,-,2.7,1.41,5.83%,1.50%,3.30%,4.00%,0.5,0.4,0.94,1.05,43.80%,13.10%,6.50%,Apr 20/a,19.03,0.05%,"16,984,321"
267,KMX,14.74B,14.74,13.29,14.6,0.82,0.46,2.85,,4.60%,23.10%,4.80%,3.2,0.7,3.5,3.6,10.30%,4.70%,3.60%,Apr 12/b,92.46,1.83%,"2,098,203"
