No.,Ticker,Market Cap,Market_Cap,PE,Fwd_PE,PEG,PS,PB,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt_Eq,Debt_Eq,Gross_M,Oper_M,Profit_M,Earnings,Price,Change,Volume
426,SWKS,16.01B,16.01,12.51,8.38,1.06,3.04,3.25,2.17%,16.50%,26.30%,20.10%,4,2.7,0.42,0.42,47.90%,28.10%,26.00%,May 03/a,103,1.73%,"2,656,599"
427,SYF,16.03B,16.03,4.4,5.57,0.12,1.03,1.32,2.71%,4.40%,31.30%,44.60%,-,-,1.05,1.05,-,87.90%,26.30%,Apr 18/b,32.46,-0.31%,"7,444,445"
428,SYK,85.84B,85.84,44.08,21.47,5.49,4.92,5.83,1.20%,5.80%,13.90%,8.40%,2,1.2,0.92,0.94,62.90%,14.70%,11.60%,Apr 28/a,232.25,0.76%,"1,081,158"
429,SYY,38.24B,38.24,39.62,17.99,0.76,0.58,29.61,2.55%,4.60%,69.30%,10.90%,1.2,0.7,8.03,8.41,17.90%,3.30%,1.50%,May 10/b,76.98,-2.66%,"3,262,163"
430,T,145.16B,145.16,8.61,8,-,0.89,0.87,5.44%,3.10%,10.40%,5.20%,0.9,0.9,1.07,1.23,53.20%,13.10%,10.50%,Apr 21/b,20.4,0.94%,"47,316,351"
431,TAP,11.04B,11.04,10.39,11.94,3.89,1.04,0.82,2.97%,3.80%,8.10%,5.90%,0.8,0.5,0.49,0.54,40.10%,14.20%,10.10%,May 03/b,51.23,0.89%,"1,621,556"
432,TDG,29.29B,29.29,38.36,25.19,1.58,5.84,,,4.40%,-29.10%,9.80%,5,4.1,-,-,55.50%,40.10%,16.80%,May 10/b,550.24,1.68%,"526,669"
433,TDY,17.36B,17.36,31.83,19.42,1.37,3.38,2.3,,4.00%,7.60%,4.30%,1.7,1.1,0.49,0.53,40.90%,13.60%,11.20%,Apr 27/b,386.1,-1.15%,"399,102"
434,TECH,13.64B,13.64,66.83,40.07,4.46,12.67,8.39,0.35%,9.90%,13.60%,12.00%,3.6,2.8,0.14,0.15,68.00%,26.40%,20.90%,May 04/b,366.35,-0.02%,"195,993"
435,TEL,38.70B,38.7,16.23,15.65,1.57,2.5,3.82,1.83%,11.70%,23.70%,15.70%,1.5,0.9,0.33,0.39,33.00%,17.80%,16.10%,Apr 27/b,122.68,0.00%,"1,969,802"
436,TER,15.56B,15.56,19.14,15.49,2.37,4.23,6.7,0.43%,25.60%,38.50%,38.40%,3.3,3,0.03,0.04,59.80%,30.70%,26.40%,May 12/a,102.37,0.19%,"2,120,198"
437,TFC,61.03B,61.03,10.2,8.12,3.76,4.48,1.04,4.20%,1.10%,9.80%,12.60%,-,-,0.56,0.56,-,-,44.20%,Apr 19/b,45.68,-0.95%,"9,708,166"
438,TFX,13.03B,13.03,27.94,18.71,2.69,4.62,3.55,0.47%,7.00%,13.30%,9.60%,2.3,1.5,0.46,0.49,55.10%,21.80%,17.30%,Apr 28/b,287.3,-0.48%,"389,679"
439,TGT,71.23B,71.23,11.04,9.74,0.79,0.67,5.76,2.32%,13.20%,49.20%,27.60%,1,0.4,1.06,1.07,29.30%,8.80%,6.60%,May 18/b,155.36,1.26%,"12,258,856"
440,TJX,66.55B,66.55,21.41,16.16,1.63,1.37,11.46,2.04%,11.20%,52.50%,36.30%,1.3,0.7,0.56,0.56,28.50%,9.30%,6.80%,May 18/b,57.87,-5.76%,"15,684,210"
441,TMO,211.05B,211.05,28.91,22.65,3.09,5.13,5.31,0.22%,9.20%,19.30%,10.80%,1.6,1.1,0.77,0.81,48.40%,22.00%,18.50%,Apr 28/b,555.15,0.80%,"2,095,101"
442,TMUS,155.12B,155.12,56.39,20.35,0.96,1.93,2.25,,1.40%,4.10%,4.40%,0.8,0.7,1.06,1.13,57.10%,8.10%,3.50%,Apr 27/b,126.04,0.13%,"4,328,571"
443,TPR,8.06B,8.06,10.62,7.65,0.51,1.24,3.22,3.18%,11.00%,29.20%,16.70%,1.5,0.9,0.47,0.63,70.80%,17.40%,13.30%,May 12/b,31.41,1.42%,"5,064,414"
444,TRMB,15.51B,15.51,33.92,20.18,3.39,4.12,4.1,,6.90%,12.50%,9.10%,1.3,0.9,0.32,0,55.50%,15.30%,13.00%,May 05/b,65.23,0.31%,"1,307,002"
445,TROW,27.06B,27.06,9.85,10.88,0.81,3.51,3.07,3.94%,23.80%,33.00%,31.20%,-,-,0,0,-,47.90%,36.70%,Apr 28/b,121.78,1.37%,"1,871,405"
446,TRV,40.51B,40.51,10.64,11.41,1.51,1.15,1.59,2.21%,3.30%,14.00%,11.10%,-,-,0.28,0.29,-,14.40%,11.10%,Apr 19/b,168.24,-0.63%,"1,942,636"
447,TSCO,19.60B,19.6,20.65,17.35,1.43,1.51,11.31,2.04%,13.00%,51.50%,33.80%,1.4,0.3,0.57,0.57,35.10%,10.20%,7.70%,Apr 21/b,179.96,-2.07%,"1,962,525"
448,TSLA,666.73B,666.73,89.74,42.02,2.26,10.72,20.14,,13.90%,28.90%,15.70%,1.4,1,0.09,0.14,27.10%,15.30%,13.50%,Apr 20/a,663.9,-6.42%,"47,948,430"
449,TSN,30.68B,30.68,7.33,10.66,0.98,0.6,1.62,2.16%,11.20%,22.60%,12.60%,1.9,0.9,0.43,0.44,15.50%,10.90%,7.90%,May 09/b,85.28,1.38%,"4,291,410"
450,TT,29.78B,29.78,21.35,16.55,1.15,2.06,5.11,2.05%,8.00%,23.00%,15.20%,1.3,0.9,0.75,0.81,31.20%,14.20%,10.00%,May 04/b,130.72,-0.11%,"1,399,303"
451,TTWO,12.95B,12.95,25.76,19.37,1.9,3.79,3.65,,8.30%,14.90%,16.20%,1.8,1.8,0,0,60.40%,17.60%,15.40%,May 16/a,116.12,-3.04%,"19,643,466"
452,TWTR,32.39B,32.39,158.22,29.64,-,6.18,5.05,,1.60%,3.20%,-1.90%,6.6,6.6,0.89,0,63.30%,-10.90%,4.30%,Apr 28/b,38.29,2.68%,"23,539,494"
453,TXN,153.04B,153.04,19.42,18.77,1.94,8.07,11.18,2.71%,34.90%,64.60%,37.10%,5.5,4.7,0.52,0.55,68.70%,50.50%,43.20%,Apr 26/a,169.81,1.31%,"6,261,372"
454,TXT,13.14B,13.14,18.21,13.33,1.29,1.05,1.96,0.13%,4.90%,11.90%,6.90%,2.3,1.2,0.53,0.53,16.90%,7.00%,6.10%,Apr 28/b,62.49,-0.43%,"1,572,809"
455,TYL,13.65B,13.65,87.94,41.9,8.79,7.79,5.92,,3.50%,7.30%,5.00%,1.1,1.1,0.54,0.55,43.20%,11.30%,9.40%,Apr 27/a,341.73,0.42%,"323,962"
456,UA,3.83B,3.83,8.97,10.6,0.41,0.67,2.04,,-,-,-,-,-,-,-,-,-,-,May 06/b,8.48,3.67%,"13,884,820"
457,UAA,4.22B,4.22,20.51,11.09,1.73,0.74,2.63,,4.70%,11.70%,24.50%,2.2,1.5,0.39,0,49.60%,5.80%,3.90%,May 06/b,9.64,3.88%,"14,859,102"
458,UAL,13.65B,13.65,,6.06,-,0.47,3.91,,-2.90%,-41.80%,-1.10%,1,1,8.24,9.09,53.20%,-3.50%,-6.80%,Apr 20/a,43.55,-1.49%,"12,865,256"
459,UDR,14.58B,14.58,92.6,104.91,-,10.82,4.42,3.26%,1.50%,5.00%,2.50%,-,-,1.55,1.64,64.90%,17.90%,11.60%,Apr 26/a,46.58,0.65%,"2,071,366"
460,UHS,8.91B,8.91,10.6,8.99,1.12,0.69,1.55,0.66%,7.20%,15.10%,10.10%,1.1,1,0.72,0.73,-,9.90%,7.20%,Apr 25/a,120.93,1.72%,"587,409"
461,ULTA,17.10B,17.1,19.05,16.64,0.44,1.98,11.88,,19.60%,54.40%,64.30%,1.5,0.5,0,0,39.00%,15.00%,11.40%,May 26/a,343.05,-2.35%,"1,159,988"
462,UNH,449.50B,449.5,26.59,19.63,1.82,1.51,6.28,1.19%,8.10%,24.60%,16.50%,-,-,0.56,0.65,-,8.10%,5.90%,Apr 14/b,485.73,1.50%,"3,056,528"
463,UNP,131.33B,131.33,20.27,16.4,1.27,5.79,11.35,2.21%,10.80%,50.20%,16.80%,0.7,0.6,2.58,2.71,80.40%,42.90%,30.10%,Apr 21/b,213.58,-1.35%,"3,767,452"
464,UPS,149.96B,149.96,13.95,12.79,0.99,1.52,9.7,3.55%,15.90%,82.00%,25.20%,1.5,1.5,1.28,1.42,76.00%,13.50%,10.90%,Apr 26/b,171.04,2.18%,"3,471,703"
465,URI,18.97B,18.97,12.69,8.26,0.55,1.86,3.21,,7.70%,27.40%,11.60%,0.8,0.7,1.4,1.56,40.60%,24.30%,15.20%,Apr 27/a,269.92,-0.99%,"840,746"
466,USB,73.10B,73.1,10.61,9.3,1.02,5.39,1.65,3.74%,1.20%,14.70%,14.40%,-,-,0.74,0.74,-,94.60%,50.80%,Apr 14/b,49.21,-0.06%,"8,435,924"
467,V,403.67B,403.67,37.57,23.76,2.07,14.99,12.61,0.75%,16.30%,39.80%,21.70%,1.3,1.3,0.53,0.64,80.60%,66.70%,49.90%,Apr 26/a,199.03,0.84%,"6,938,441"
468,VFC,18.27B,18.27,15.54,13.14,0.35,1.58,5.06,4.23%,10.20%,41.10%,5.70%,1.4,1,1.27,1.44,54.70%,13.40%,12.00%,May 19/a,47.32,6.07%,"8,921,744"
469,VLO,48.46B,48.46,19.8,13.43,-,0.37,2.67,3.19%,4.40%,14.00%,5.80%,1.2,0.8,0.63,0.7,3.90%,3.20%,1.90%,Apr 26/b,122.98,-1.03%,"5,083,797"
470,VMC,20.90B,20.9,35.26,20.06,1.69,3.47,3.24,1.00%,4.60%,9.30%,7.70%,1.9,1.3,0.6,0.62,23.50%,15.10%,10.00%,May 04/b,160.03,-0.17%,"821,757"
471,VNO,6.35B,6.35,52.2,46.54,3.01,3.85,1.28,6.33%,0.70%,2.40%,1.70%,-,-,1.72,1.72,50.20%,14.80%,7.50%,May 02/a,33.51,0.27%,"1,590,303"
472,VRSK,26.28B,26.28,27.32,27.1,2.97,8.62,10.2,0.73%,12.80%,36.70%,12.90%,0.5,0.5,0.88,1.37,64.70%,45.70%,32.90%,May 03/a,168.89,0.40%,"1,036,204"
473,VRSN,18.06B,18.06,23.27,21.96,2.91,13.37,,,42.20%,-58.90%,165.10%,1.2,1.2,-,-,85.50%,65.10%,58.60%,Apr 28/a,165.56,1.29%,"1,640,622"
474,VRTX,64.56B,64.56,27.25,16.96,2.5,8.12,6.05,,18.70%,24.70%,22.50%,4.8,4.6,0.05,0.05,88.00%,36.90%,30.80%,May 05/a,258.59,1.23%,"1,545,403"
475,VTR,22.01B,22.01,149.13,181.74,-,5.59,2.05,3.18%,0.60%,1.30%,1.30%,-,-,1.13,1.13,45.50%,9.90%,3.70%,May 05/a,56.52,0.77%,"2,634,800"
476,VTRS,14.01B,14.01,86.13,3.42,-,0.79,0.7,4.07%,0.30%,0.80%,-1.50%,1.2,0.8,0.92,1.08,39.20%,5.30%,1.00%,May 09/b,11.8,0.94%,"13,772,815"
477,VZ,207.49B,207.49,9.63,8.91,2.68,1.54,2.48,5.17%,6.00%,27.10%,10.50%,0.8,0.7,1.67,1.83,57.50%,22.70%,15.90%,Apr 22/b,49.53,0.88%,"24,118,397"
478,WAB,15.73B,15.73,27.53,15.75,3.77,1.99,1.6,0.69%,3.20%,5.80%,4.90%,1.4,0.7,0.42,0.42,31.40%,11.70%,7.50%,Apr 27/b,86.96,-0.10%,"778,615"
479,WAT,18.82B,18.82,27.88,24.25,2.58,6.56,51.53,,22.80%,215.80%,37.60%,2.3,1.7,3.85,0,58.60%,29.50%,24.60%,May 03/b,318.95,-1.51%,"512,852"
480,WBA,35.06B,35.06,5.99,8.3,2.44,0.26,1.32,4.66%,6.90%,25.50%,4.60%,0.7,0.3,0.46,0.54,22.00%,3.00%,4.60%,Mar 31/b,40.96,0.86%,"7,346,821"
481,WBD,40.70B,40.7,8.8,9.34,1.19,3.24,0.88,,3.20%,9.30%,6.60%,2,2,1.14,1.2,61.20%,15.60%,8.70%,-,17.74,1.37%,"19,076,315"
482,WDC,16.91B,16.91,9.8,5.9,0.43,0.88,1.48,,7.00%,15.80%,5.70%,2.1,1.3,0.59,0.6,32.70%,13.10%,9.50%,Apr 28/a,56.81,-2.07%,"3,133,653"
483,WEC,32.26B,32.26,24.15,22.54,3.99,3.78,2.9,2.81%,3.50%,12.40%,5.60%,0.8,0.7,1.2,1.35,59.80%,20.90%,15.90%,May 02/b,103.55,0.66%,"1,751,123"
484,WELL,39.42B,39.42,308.08,61.02,23.7,7.75,2.2,2.77%,1.00%,1.90%,2.00%,-,-,0.82,0.82,41.80%,13.70%,6.40%,May 10/a,88.11,0.67%,"2,452,509"
485,WFC,154.87B,154.87,8.67,8.04,1.19,3.89,1,2.40%,1.00%,11.60%,10.50%,-,-,0.96,0.96,-,-,48.70%,Apr 14/b,41.67,-0.79%,"35,321,193"
486,WHR,9.74B,9.74,6.54,6.65,6.27,0.45,2.21,4.03%,8.30%,34.40%,18.00%,1.1,0.7,1.01,1.13,19.10%,10.20%,7.70%,Apr 25/a,173.81,1.16%,"1,272,786"
487,WM,63.17B,63.17,34.08,24.89,2.92,3.42,8.99,1.68%,6.60%,26.50%,10.80%,0.8,0.8,1.83,1.89,46.70%,15.50%,10.30%,Apr 26/b,154.5,1.13%,"2,666,432"
488,WMB,42.88B,42.88,29.39,22.62,5.76,4.07,3.82,4.80%,3.20%,13.00%,6.00%,0.7,0.7,1.84,1.99,62.90%,24.20%,13.90%,May 02/a,35.38,1.03%,"7,957,711"
489,WMT,326.87B,326.87,24.44,16.39,2.57,0.57,3.97,1.88%,5.70%,16.90%,14.30%,0.9,0.3,0.47,0.51,25.10%,4.00%,2.40%,May 17/b,119.2,0.11%,"16,409,543"
490,WRB,17.37B,17.37,13.41,14.18,1.49,1.7,2.68,0.52%,4.40%,20.70%,11.60%,-,-,0.41,0.41,-,18.00%,13.50%,Apr 25/a,66.48,0.29%,"4,020,326"
491,WRK,11.56B,11.56,14.89,7.93,0.75,0.57,1,2.26%,2.70%,6.90%,5.20%,1.5,1,0.69,0.72,18.40%,5.70%,3.90%,May 05/b,44.16,-1.63%,"2,474,470"
492,WST,21.62B,21.62,33.59,29.23,3.23,7.5,9.62,0.24%,21.60%,30.80%,24.80%,2.9,2.2,0.09,0.11,41.30%,26.50%,23.80%,Apr 28/b,300.68,-0.51%,"372,159"
493,WTW,21.65B,21.65,14.75,12.69,-,2.42,2.13,1.65%,-,-,11.40%,1.1,1.1,0.36,0.42,-,-,-,Apr 28/b,198.48,-0.91%,"874,784"
494,WY,27.66B,27.66,10.47,21.37,2.09,2.56,2.75,1.91%,15.30%,25.80%,18.50%,2.8,2.2,0.49,0,41.50%,34.70%,25.00%,Apr 29/b,37.63,-0.61%,"5,924,027"
495,WYNN,6.46B,6.46,,34.81,-,1.62,,,-5.20%,524.50%,-3.40%,2.3,2.2,-,-,33.60%,-7.90%,-16.50%,May 10/a,63.07,0.43%,"2,412,740"
496,XEL,39.91B,39.91,24.87,21.86,3.51,2.93,2.57,2.63%,2.80%,10.50%,5.80%,0.8,0.7,1.37,1.49,88.80%,16.10%,11.80%,Apr 28/b,74.22,-1.05%,"4,557,058"
497,XOM,375.82B,375.82,15.25,10.54,0.81,1.22,2.32,3.83%,7.50%,15.70%,7.20%,1.1,0.8,0.25,0.28,30.50%,8.80%,8.40%,Apr 29/b,91.86,0.79%,"28,694,164"
498,XRAY,8.05B,8.05,22.46,13.73,0.9,1.92,1.63,1.32%,4.50%,8.30%,6.90%,1.5,1.1,0.38,0.42,54.80%,14.70%,10.00%,May 10/b,37.75,1.15%,"1,618,060"
499,XYL,14.52B,14.52,35.11,25.31,1.87,2.79,4.6,1.47%,5.00%,13.50%,8.90%,1.6,1.2,0.59,0.76,37.50%,10.90%,8.10%,May 04/b,81.69,-0.32%,"851,602"
500,YUM,31.26B,31.26,20.32,20.68,2.09,4.7,,2.04%,27.60%,-20.20%,71.00%,1,1,-,-,48.00%,31.70%,24.80%,May 04/b,111.92,1.77%,"1,767,228"
501,ZBH,24.23B,24.23,81.84,16.52,11.69,3.17,2.05,0.82%,0.90%,1.70%,3.20%,1.7,0.9,0.44,0.52,69.60%,7.20%,2.80%,May 03/b,117.61,0.60%,"841,591"
502,ZBRA,16.06B,16.06,21.49,14.74,2.15,2.81,5.94,,13.70%,28.80%,21.30%,0.9,0.6,0.31,0.38,45.70%,16.10%,14.30%,May 03/b,325.37,0.39%,"562,171"
503,ZION,7.86B,7.86,8.46,8.17,-,3.48,1.34,2.92%,1.10%,14.00%,27.00%,-,-,0.12,0.12,-,-,43.10%,Apr 25/a,51.99,-0.13%,"1,498,492"
504,ZTS,75.46B,75.46,37.3,28.07,3.38,9.56,16.49,0.80%,14.90%,45.50%,18.30%,2.3,1.6,1.12,1.41,70.80%,32.00%,26.30%,May 05/b,162.56,2.48%,"2,459,848"
