Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,Price201231
000028.SZ, 国药一致,34.8,广东,医药生物,1993-08-09,3.27,2.97,2.83,2.47,2.8,2.1,1.9,1.81,1.65,1.15,0.91,0.67,0.537,0.434,0,1,3.023333333,1.786666667,32.5799,是,1,11.51047409,20.20596047,0.692164179,1.44450505,2.292854519,1.068143242,16979516146,0,1,0,1,1,1,1,1,45.8
000029.SZ, 深深房Ａ,7.11,广东,房地产,1993-09-15,0.2869,0.5461,0.4977,0.1829,0.308,0.2977,0.2946,0.2256,0.1056,0.1,0.0838,0.02,0.0189,0.0288,0,1,0.443566667,0.2086,3.7537,是,1,16.02915759,30.21507879,1.12639821,3.280003709,-1.537055957,1.894131124,7455934200,0,0,1,1,0,1,0,0,7.14
000030.SZ, 富奥股份,5.83,吉林,汽车,1993-09-29,0.52,0.5,0.49,0.64,0.52,0.39,0.48,0.44,-0.0128,5.0484,3.6934,0.0281,-0.2952,-0.0765,0,1,0.503333333,0.3024,4.0113,是,1,11.58278146,33.23013907,0.664462081,1.528329434,22.87071054,1.453394161,12764392383,0,1,0,1,1,1,1,1,7.34
000031.SZ, 大悦城,3.63,广东,房地产,1993-10-08,-0.09,0.61,0.77,0.52,0.4,0.4,0.33,0.29,0.28,0.23,0.26,0.21,0.08,0.61,0,1,0.43,0.3,4.2813,-,0,8.441860465,30.63643989,0.433333333,1.523667411,0.176611212,0.84787331,15859359354,0,1,0,1,1,1,1,1,4.4
000032.SZ, 深桑达Ａ,18.18,广东,通信,1993-10-28,0.36,0.32,0.26,0.06,0.14,0.16,0.09,0.04,0.77,0.12,0.123,0.175,0.31,0.449,0,1,0.313333333,0.3,3.8272,-,0,58.0212766,24.6786934,0.044444444,2.383290078,-2.678301782,4.75020903,7925553098,0,0,1,1,0,1,0,0,17.9
000033.SZ, 新都退,0,广东,-,1994-01-03,0,0,0,0,0.01,0.21,-1.3647,0.0106,-0.0773,0.0085,0.0127,-0.073,0.0107,0.0057,0,0,0,-0.477133333,0,-,0,10000,0,-1,0,0,#DIV/0!,730524059.5,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000034.SZ, 神州数码,15.38,广东,计算机,1994-05-09,0.9509,1.074,0.7834,1.1053,0.67,0.06,0.17,0.05,0.01,0.05,1.39,0.37,-0.72,-0.8,0,1,0.9361,0.076666667,7.126,是,1,16.4298686,19.56638867,11.21,1.031372261,0.073070512,2.158293573,10942735415,0,0,0,1,0,1,0,0,21.46
000035.SZ, 中国天楹,5.25,江苏,公用事业,1994-04-08,0.26,0.3018,0.1602,0.1729,0.1709,0.37,0.35,5.99,-3.37,-0.15,0.31,-0.12,-0.0664,0.79,0,1,0.240666667,0.99,4.6333,-,0,21.81440443,0,-0.756902357,0.833270203,-0.27319993,1.133101677,11180333426,0,0,0,1,1,1,1,0,4.11
000036.SZ, 华联控股,4.37,广东,房地产,1994-06-17,0.37,0.551,0.849,1.177,1.18,0.0612,0.0306,0.071,0.0525,0.0618,0.2053,0.2505,-0.353,-0.34,0,1,0.59,0.051366667,3.3057,是,1,7.406779661,72.60181524,10.48604802,2.771209354,-2.571334673,1.32195904,5460877212,0,1,1,1,1,1,1,1,3.98
000037.SZ, 深南电A,8.78,广东,公用事业,1994-07-01,0.1062,0.04,0.03,0.03,2.17,-1.05,-0.55,0.09,0,0,-0.19,0.12,0.02,0.22,0,0,0.058733333,-0.153333333,3.4089,-,0,149.4892168,48.41280619,-1.383043478,2.361832407,-34.64517216,2.575610901,4936625661,0,0,1,1,0,1,0,0,10.92
